Time,Rate
2020-12-12 15:00:00,96
2020-12-12 18:00:00,96
2020-12-12 21:00:00,95
2020-12-13 0:00:00,96
2020-12-13 3:00:00,98
2020-12-13 6:00:00,98
2020-12-13 9:00:00,97
2020-12-13 12:00:00,96
2020-12-13 15:00:00,96
2020-12-13 18:00:00,96
2020-12-13 21:00:00,96
2020-12-14 0:00:00,98
2020-12-14 3:00:00,97
2020-12-14 6:00:00,96
2020-12-14 9:00:00,96
2020-12-14 12:00:00,96
2020-12-14 15:00:00,96
2020-12-14 18:00:00,97
2020-12-14 21:00:00,96
2020-12-15 0:00:00,96
2020-12-15 3:00:00,98
2020-12-15 6:00:00,97
2020-12-15 9:00:00,96
2020-12-15 12:00:00,96
2020-12-15 15:00:00,95
2020-12-15 18:00:00,96
2020-12-15 21:00:00,96
2020-12-16 0:00:00,97
2020-12-16 3:00:00,99
2020-12-16 6:00:00,97
2020-12-16 9:00:00,97
